id,name,city,bed_capacity,icu_seats,ayushman_enabled,facilities,rating,contact,address
1,All India Institute of Medical Sciences (AIIMS),Delhi,2300,150,Yes,"Emergency | ICU | Cardiology | Neurosurgery | Pediatric ICU | Cardiac ICU",4.8,+91-11-26588500,"Ansari Nagar, New Delhi"
323,Gupta Hospital,Pataudi,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-124-2372222,"Pataudi"
324,Jain Hospital,Pataudi,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-124-2373333,"Pataudi"
325,Verma Hospital,Pataudi,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-124-2374444,"Pataudi"
326,Chaudhary Hospital,Manesar,180,27,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.3,+91-124-2380000,"Manesar"
327,Sharma Hospital,Manesar,150,22,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.2,+91-124-2381111,"Manesar"
328,Gupta Hospital,Manesar,120,18,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.1,+91-124-2382222,"Manesar"
329,Jain Hospital,Manesar,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-124-2383333,"Manesar"
330,Kumar Hospital,Manesar,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-124-2384444,"Manesar"
331,Singh Hospital,Dharuhera,130,20,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-124-2390000,"Dharuhera"
332,Sharma Hospital,Dharuhera,110,16,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-124-2391111,"Dharuhera"
333,Gupta Hospital,Dharuhera,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-124-2392222,"Dharuhera"
334,Jain Hospital,Dharuhera,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-124-2393333,"Dharuhera"
335,Verma Hospital,Dharuhera,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-124-2394444,"Dharuhera"
336,Rana Hospital,Bawal,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-124-2400000,"Bawal"
337,Sharma Hospital,Bawal,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-124-2401111,"Bawal"
338,Gupta Hospital,Bawal,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-124-2402222,"Bawal"
339,Jain Hospital,Bawal,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-124-2403333,"Bawal"
340,Kumar Hospital,Bawal,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-124-2404444,"Bawal"
341,Malik Hospital,Kharkhoda,95,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1263-250000,"Kharkhoda"
342,Sharma Hospital,Kharkhoda,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1263-251111,"Kharkhoda"
343,Gupta Hospital,Kharkhoda,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1263-252222,"Kharkhoda"
344,Jain Hospital,Kharkhoda,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1263-253333,"Kharkhoda"
345,Verma Hospital,Kharkhoda,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1263-254444,"Kharkhoda"
346,Singh Hospital,Ganaur,110,16,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-130-2400000,"Ganaur"
347,Sharma Hospital,Ganaur,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-130-2411111,"Ganaur"
348,Gupta Hospital,Ganaur,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-130-2422222,"Ganaur"
349,Jain Hospital,Ganaur,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-130-2433333,"Ganaur"
350,Kumar Hospital,Ganaur,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-130-2444444,"Ganaur"
351,Rao Hospital,Rai,100,15,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-130-2500000,"Rai"
352,Sharma Hospital,Rai,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-130-2511111,"Rai"
353,Gupta Hospital,Rai,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-130-2522222,"Rai"
354,Jain Hospital,Rai,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-130-2533333,"Rai"
355,Verma Hospital,Rai,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-130-2544444,"Rai"
356,Chaudhary Hospital,Murthal,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-130-2600000,"Murthal"
357,Sharma Hospital,Murthal,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-130-2611111,"Murthal"
358,Gupta Hospital,Murthal,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-130-2622222,"Murthal"
359,Jain Hospital,Murthal,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-130-2633333,"Murthal"
360,Kumar Hospital,Murthal,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-130-2644444,"Murthal"
361,Singh Hospital,Barhi,90,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1264-260000,"Barhi"
362,Sharma Hospital,Barhi,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1264-261111,"Barhi"
363,Gupta Hospital,Barhi,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1264-262222,"Barhi"
364,Jain Hospital,Barhi,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1264-263333,"Barhi"
365,Verma Hospital,Barhi,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1264-264444,"Barhi"
366,Rana Hospital,Salhawas,85,13,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.0,+91-1264-270000,"Salhawas"
367,Sharma Hospital,Salhawas,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1264-271111,"Salhawas"
368,Gupta Hospital,Salhawas,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1264-272222,"Salhawas"
369,Jain Hospital,Salhawas,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.7,+91-1264-273333,"Salhawas"
370,Kumar Hospital,Salhawas,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.6,+91-1264-274444,"Salhawas"
371,Malik Hospital,Meham,110,16,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1262-250000,"Meham"
372,Sharma Hospital,Meham,95,14,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1262-251111,"Meham"
373,Gupta Hospital,Meham,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1262-252222,"Meham"
374,Jain Hospital,Meham,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1262-253333,"Meham"
375,Verma Hospital,Meham,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1262-254444,"Meham"
376,Singh Hospital,Kanina,95,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1285-270000,"Kanina"
377,Sharma Hospital,Kanina,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1285-271111,"Kanina"
378,Gupta Hospital,Kanina,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1285-272222,"Kanina"
379,Jain Hospital,Kanina,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1285-273333,"Kanina"
380,Kumar Hospital,Kanina,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1285-274444,"Kanina"
381,Rao Hospital,Satnali,90,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1681-290000,"Satnali"
382,Sharma Hospital,Satnali,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1681-291111,"Satnali"
383,Gupta Hospital,Satnali,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1681-292222,"Satnali"
384,Jain Hospital,Satnali,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1681-293333,"Satnali"
385,Verma Hospital,Satnali,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1681-294444,"Satnali"
386,Chaudhary Hospital,Mandi Dabwali,120,18,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.2,+91-1667-260000,"Mandi Dabwali"
387,Sharma Hospital,Mandi Dabwali,100,15,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.1,+91-1667-261111,"Mandi Dabwali"
388,Gupta Hospital,Mandi Dabwali,85,13,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.0,+91-1667-262222,"Mandi Dabwali"
389,Jain Hospital,Mandi Dabwali,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1667-263333,"Mandi Dabwali"
390,Kumar Hospital,Mandi Dabwali,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1667-264444,"Mandi Dabwali"
391,Singh Hospital,Rania,95,14,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.1,+91-1666-250000,"Rania"
392,Sharma Hospital,Rania,80,12,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",4.0,+91-1666-251111,"Rania"
393,Gupta Hospital,Rania,70,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.9,+91-1666-252222,"Rania"
394,Jain Hospital,Rania,60,9,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.8,+91-1666-253333,"Rania"
395,Verma Hospital,Rania,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.7,+91-1666-254444,"Rania"
396,Rana Hospital,Siwani,85,13,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.0,+91-1664-250000,"Siwani"
397,Sharma Hospital,Siwani,75,11,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.9,+91-1664-251111,"Siwani"
398,Gupta Hospital,Siwani,65,10,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.8,+91-1664-252222,"Siwani"
399,Jain Hospital,Siwani,55,8,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Surgery",3.7,+91-1664-253333,"Siwani"
400,Kumar Hospital,Siwani,50,7,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",3.6,+91-1664-254444,"Siwani"
401,Apollo Hospitals,Chennai,600,85,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant | Robotic Surgery",4.8,+91-44-28290200,"Greams Road, Chennai, Tamil Nadu"
402,Christian Medical College,Vellore,2800,200,Yes,"Emergency | ICU | Cardiology | Neurosurgery | Oncology | Pediatric Care | Research Center",4.8,+91-416-2281000,"Ida Scudder Road, Vellore, Tamil Nadu"
403,Sri Ramachandra Medical Centre,Chennai,800,120,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Transplant | Medical College",4.7,+91-44-24768027,"Porur, Chennai, Tamil Nadu"
404,Manipal Hospital,Bengaluru,600,80,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Multi-organ Transplant",4.8,+91-80-25024444,"Old Airport Road, Bengaluru, Karnataka"
405,Narayana Health,Bengaluru,5000,300,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Pediatric Cardiology",4.7,+91-80-22222222,"Hosur Road, Bengaluru, Karnataka"
406,Fortis Hospital,Bengaluru,400,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics | Transplant",4.6,+91-80-66214444,"Bannerghatta Road, Bengaluru, Karnataka"
407,M S Ramaiah Memorial Hospital,Bengaluru,850,100,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics | Medical College",4.7,+91-80-23608888,"New BEL Road, Bengaluru, Karnataka"
408,Columbia Asia Hospital,Bengaluru,150,25,Yes,"Emergency | ICU | General Medicine | Pediatrics | Gynecology | Orthopedics",4.5,+91-80-61659999,"Yeshwanthpur, Bengaluru, Karnataka"
409,Aster CMI Hospital,Bengaluru,500,70,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Orthopedics",4.7,+91-80-43420100,"Hebbal, Bengaluru, Karnataka"
410,Sakra World Hospital,Bengaluru,350,50,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Orthopedics",4.6,+91-80-49694969,"Devarabeesanahalli, Bengaluru, Karnataka"
411,Kokilaben Dhirubhai Ambani Hospital,Mumbai,750,100,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.8,+91-22-30999999,"Four Bungalows, Andheri West, Mumbai, Maharashtra"
412,Lilavati Hospital,Mumbai,323,55,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.7,+91-22-26751000,"Bandra West, Mumbai, Maharashtra"
413,Jaslok Hospital,Mumbai,350,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.7,+91-22-66573000,"Pedder Road, Mumbai, Maharashtra"
414,PD Hinduja Hospital,Mumbai,400,65,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Transplant",4.7,+91-22-24452222,"Mahim, Mumbai, Maharashtra"
415,Nanavati Max Super Speciality Hospital,Mumbai,350,55,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-22-30666666,"Vile Parle West, Mumbai, Maharashtra"
416,Bombay Hospital,Mumbai,830,90,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-22-22067676,"Marine Lines, Mumbai, Maharashtra"
417,Asian Heart Institute,Mumbai,250,45,Yes,"Cardiac ICU | Cardiology | Cardiothoracic Surgery | Electrophysiology | Pediatric Cardiology",4.8,+91-22-66986666,"Bandra Kurla Complex, Mumbai, Maharashtra"
418,Sir H. N. Reliance Foundation Hospital,Mumbai,345,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Transplant",4.8,+91-22-61306666,"Girgaon, Mumbai, Maharashtra"
419,Ruby Hall Clinic,Pune,550,75,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Transplant",4.7,+91-20-66455555,"Sassoon Road, Pune, Maharashtra"
420,Jehangir Hospital,Pune,350,50,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-20-66819999,"Sassoon Road, Pune, Maharashtra"
421,Aditya Birla Memorial Hospital,Pune,500,70,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Orthopedics",4.7,+91-20-30719500,"Chinchwad, Pune, Maharashtra"
422,Deenanath Mangeshkar Hospital,Pune,450,65,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-20-40151515,"Erandwane, Pune, Maharashtra"
423,Sahyadri Super Speciality Hospital,Pune,300,45,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.5,+91-20-67255555,"Deccan Gymkhana, Pune, Maharashtra"
424,Apollo Hospitals,Hyderabad,350,50,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-40-23607777,"Jubilee Hills, Hyderabad, Telangana"
425,Yashoda Hospitals,Hyderabad,1000,120,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Multi-organ Transplant",4.7,+91-40-45674567,"Somajiguda, Hyderabad, Telangana"
426,KIMS Hospitals,Hyderabad,400,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-40-44885000,"Secunderabad, Hyderabad, Telangana"
427,Continental Hospitals,Hyderabad,350,50,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.6,+91-40-67000000,"Gachibowli, Hyderabad, Telangana"
428,Gleneagles Global Hospitals,Hyderabad,300,45,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Transplant",4.6,+91-40-30224444,"Lakdikapul, Hyderabad, Telangana"
429,Apollo Hospitals,Ahmedabad,350,50,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-79-66701800,"Bhat, Ahmedabad, Gujarat"
430,Sterling Hospitals,Ahmedabad,250,40,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-79-71222222,"Gurukul Road, Ahmedabad, Gujarat"
431,CIMS Hospital,Ahmedabad,350,55,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-79-66522222,"Science City Road, Ahmedabad, Gujarat"
432,Shalby Hospitals,Ahmedabad,300,45,Yes,"Emergency | ICU | Orthopedics | Cardiology | Neurosciences | Oncology",4.6,+91-79-40203100,"S G Highway, Ahmedabad, Gujarat"
433,U N Mehta Institute of Cardiology,Ahmedabad,350,50,Yes,"Cardiac ICU | Cardiology | Cardiothoracic Surgery | Electrophysiology | Pediatric Cardiology",4.7,+91-79-22685000,"Civil Hospital Campus, Ahmedabad, Gujarat"
434,Ruby General Hospital,Kolkata,400,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-33-40114000,"Kasba, Kolkata, West Bengal"
435,AMRI Hospitals,Kolkata,450,65,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-33-66800000,"Salt Lake, Kolkata, West Bengal"
436,Apollo Gleneagles Hospitals,Kolkata,700,85,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-33-23203040,"Eastern Metropolitan Bypass, Kolkata, West Bengal"
437,Medica Superspecialty Hospital,Kolkata,400,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-33-66525000,"Mukundapur, Kolkata, West Bengal"
438,Fortis Hospital,Kolkata,300,45,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.5,+91-33-66284444,"Anandapur, Kolkata, West Bengal"
439,Peerless Hospital,Kolkata,400,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-33-40253000,"Panchasayar, Kolkata, West Bengal"
440,Belle Vue Clinic,Kolkata,150,25,Yes,"Emergency | ICU | Cardiology | Orthopedics | Gynecology | Pediatrics",4.5,+91-33-22872021,"Southern Avenue, Kolkata, West Bengal"
441,Apollo Hospitals,Bhubaneswar,350,50,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-674-6666666,"Bapuji Nagar, Bhubaneswar, Odisha"
442,SUM Ultimate Medicare,Bhubaneswar,250,40,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-674-6665555,"Kalinga Nagar, Bhubaneswar, Odisha"
443,Kalinga Hospital,Bhubaneswar,300,45,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.5,+91-674-2385010,"Nayapalli, Bhubaneswar, Odisha"
444,Apollo Hospitals,Thiruvananthapuram,350,50,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-471-3089999,"Karamana, Thiruvananthapuram, Kerala"
445,Aster Medcity,Kochi,670,90,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Multi-organ Transplant",4.8,+91-484-6699999,"South Chittoor, Kochi, Kerala"
446,Amrita Institute of Medical Sciences,Kochi,1300,150,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.8,+91-484-2851234,"Ponekkara, Kochi, Kerala"
447,Lakeshore Hospital,Kochi,450,65,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.7,+91-484-2701032,"Maradu, Kochi, Kerala"
448,Rajagiri Hospital,Kochi,300,45,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-484-2669999,"Aluva, Kochi, Kerala"
449,Apollo Hospitals,Jaipur,350,50,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-141-2694444,"Malviya Nagar, Jaipur, Rajasthan"
450,Fortis Escorts Hospital,Jaipur,285,40,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-141-2547000,"JLN Marg, Jaipur, Rajasthan"
451,Eternal Heart Care Centre,Jaipur,210,35,Yes,"Cardiac ICU | Cardiology | Cardiothoracic Surgery | Electrophysiology | Pediatric Cardiology",4.7,+91-141-3988444,"JLN Marg, Jaipur, Rajasthan"
452,Manipal Hospital,Jaipur,250,40,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-141-5161111,"Sikar Road, Jaipur, Rajasthan"
453,Rabindranath Tagore International Institute of Cardiac Sciences,Kolkata,450,65,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-33-24435555,"Mukundapur, Kolkata, West Bengal"
454,Narayana Multispeciality Hospital,Jaipur,300,45,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-141-7122222,"Sikar Road, Jaipur, Rajasthan"
455,Apollo Hospitals,Lucknow,350,50,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-522-2678000,"Gomti Nagar, Lucknow, Uttar Pradesh"
456,Fortis Hospital,Lucknow,250,40,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-522-6655555,"Gomti Nagar, Lucknow, Uttar Pradesh"
457,Sanjay Gandhi Post Graduate Institute of Medical Sciences,Lucknow,700,90,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Research Center",4.8,+91-522-2494000,"Raebareli Road, Lucknow, Uttar Pradesh"
458,Medanta Hospital,Lucknow,300,45,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Orthopedics",4.6,+91-522-4102222,"Gomti Nagar, Lucknow, Uttar Pradesh"
459,Apollo Hospitals,Indore,300,45,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-731-4077000,"Vijay Nagar, Indore, Madhya Pradesh"
460,CHL Hospitals,Indore,350,50,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-731-4074444,"AB Road, Indore, Madhya Pradesh"
461,Bombay Hospital,Indore,400,60,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-731-2533444,"Saket, Indore, Madhya Pradesh"
462,Apollo Hospitals,Nagpur,250,40,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-712-6450666,"Wanadongri, Nagpur, Maharashtra"
463,King Edward Memorial Hospital,Nagpur,550,75,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-712-2742000,"Ravi Nagar, Nagpur, Maharashtra"
464,Meditrina Institute of Medical Sciences,Nagpur,200,30,Yes,"Emergency | ICU | Cardiology | Orthopedics | Gynecology | Pediatrics",4.5,+91-712-6634444,"Wardha Road, Nagpur, Maharashtra"
465,Apollo Hospitals,Visakhapatnam,300,45,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-891-2525252,"Health City, Visakhapatnam, Andhra Pradesh"
466,Queen's NRI Hospital,Visakhapatnam,250,40,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-891-2544455,"Gajuwaka, Visakhapatnam, Andhra Pradesh"
467,Seven Hills Hospital,Visakhapatnam,350,50,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-891-3041000,"Venkojipalem, Visakhapatnam, Andhra Pradesh"
468,Apollo Hospitals,Guwahati,250,40,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-361-7102000,"Bhangagarh, Guwahati, Assam"
469,Down Town Hospital,Guwahati,350,50,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-361-2331001,"G S Road, Guwahati, Assam"
470,Narayana Superspeciality Hospital,Guwahati,200,30,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.5,+91-361-7107107,"Beltola, Guwahati, Assam"
471,Apollo Hospitals,Chandigarh,300,45,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-172-5094444,"Sector 34A, Chandigarh"
472,Post Graduate Institute of Medical Education and Research,Chandigarh,1950,150,Yes,"Emergency | ICU | Cardiology | Neurosurgery | Oncology | Research Center",4.8,+91-172-2756565,"Sector 12, Chandigarh"
473,Fortis Hospital,Chandigarh,200,35,Yes,"Emergency | ICU | Cardiology | Neurosciences | Oncology | Orthopedics",4.6,+91-172-4692222,"Mohali, Punjab"
474,Max Super Speciality Hospital,Chandigarh,150,25,Yes,"Emergency | ICU | Cardiology | Orthopedics | Nephrology | Neurosciences",4.5,+91-172-5096666,"Mohali, Punjab"
475,Apollo Hospitals,Ranchi,250,40,Yes,"Emergency | ICU | Cardiac Sciences | Neurosciences | Oncology | Transplant",4.7,+91-651-2460606,"Kutchery Road, Ranchi, Jharkhand"
